,Datetime,Region,Technology,Tech category,Value
74,2021,reg1,Hydro_PP_3,Supply,0.0
75,2022,reg1,Hydro_PP_3,Supply,0.0
76,2023,reg1,Hydro_PP_3,Supply,0.0
77,2024,reg1,Hydro_PP_3,Supply,0.0
78,2025,reg1,Hydro_PP_3,Supply,0.0
79,2026,reg1,Hydro_PP_3,Supply,0.0
80,2027,reg1,Hydro_PP_3,Supply,0.0
81,2028,reg1,Hydro_PP_3,Supply,0.0
82,2029,reg1,Hydro_PP_3,Supply,0.0
83,2030,reg1,Hydro_PP_3,Supply,0.0
84,2019,reg1,Hydro_PP_4,Supply,0.0
85,2020,reg1,Hydro_PP_4,Supply,0.0
86,2021,reg1,Hydro_PP_4,Supply,0.0
87,2022,reg1,Hydro_PP_4,Supply,0.0
88,2023,reg1,Hydro_PP_4,Supply,0.0
89,2024,reg1,Hydro_PP_4,Supply,0.0
90,2025,reg1,Hydro_PP_4,Supply,0.0
91,2026,reg1,Hydro_PP_4,Supply,0.0
92,2027,reg1,Hydro_PP_4,Supply,0.0
93,2028,reg1,Hydro_PP_4,Supply,0.0
94,2029,reg1,Hydro_PP_4,Supply,0.0
95,2030,reg1,Hydro_PP_4,Supply,0.0
96,2019,reg1,Hydro_PP_5,Supply,0.0
97,2020,reg1,Hydro_PP_5,Supply,0.0
98,2021,reg1,Hydro_PP_5,Supply,0.0
99,2022,reg1,Hydro_PP_5,Supply,0.0
100,2023,reg1,Hydro_PP_5,Supply,0.0
101,2024,reg1,Hydro_PP_5,Supply,0.0
102,2025,reg1,Hydro_PP_5,Supply,0.0
103,2026,reg1,Hydro_PP_5,Supply,0.0
104,2027,reg1,Hydro_PP_5,Supply,0.0
105,2028,reg1,Hydro_PP_5,Supply,0.0
106,2029,reg1,Hydro_PP_5,Supply,0.0
107,2030,reg1,Hydro_PP_5,Supply,0.0
108,2019,reg1,Hydro_PP_6,Supply,0.0
109,2020,reg1,Hydro_PP_6,Supply,0.0
110,2021,reg1,Hydro_PP_6,Supply,0.0
111,2022,reg1,Hydro_PP_6,Supply,0.0
112,2023,reg1,Hydro_PP_6,Supply,0.0
113,2024,reg1,Hydro_PP_6,Supply,0.0
114,2025,reg1,Hydro_PP_6,Supply,0.0
115,2026,reg1,Hydro_PP_6,Supply,0.0
116,2027,reg1,Hydro_PP_6,Supply,0.0
117,2028,reg1,Hydro_PP_6,Supply,0.0
118,2029,reg1,Hydro_PP_6,Supply,0.0
