,Years,Timesteps,Region,Carrier,Value
147,Y6,4,reg1,Final_electricity,0.0
148,Y6,5,reg1,Final_electricity,0.0
149,Y6,6,reg1,Final_electricity,0.0
150,Y6,7,reg1,Final_electricity,0.0
151,Y6,8,reg1,Final_electricity,0.0
152,Y6,9,reg1,Final_electricity,0.0
153,Y6,10,reg1,Final_electricity,0.0
154,Y6,11,reg1,Final_electricity,0.0
155,Y6,12,reg1,Final_electricity,0.0
156,Y6,13,reg1,Final_electricity,0.0
157,Y6,14,reg1,Final_electricity,0.0
158,Y6,15,reg1,Final_electricity,0.0
159,Y6,16,reg1,Final_electricity,0.0
160,Y6,17,reg1,Final_electricity,0.0
161,Y6,18,reg1,Final_electricity,0.0
162,Y6,19,reg1,Final_electricity,0.0
163,Y6,20,reg1,Final_electricity,0.0
164,Y6,21,reg1,Final_electricity,0.0
165,Y6,22,reg1,Final_electricity,0.0
166,Y6,23,reg1,Final_electricity,0.0
167,Y6,24,reg1,Final_electricity,0.0
168,Y7,1,reg1,Final_electricity,0.0
169,Y7,2,reg1,Final_electricity,0.0
170,Y7,3,reg1,Final_electricity,0.0
171,Y7,4,reg1,Final_electricity,0.0
172,Y7,5,reg1,Final_electricity,0.0
173,Y7,6,reg1,Final_electricity,0.0
174,Y7,7,reg1,Final_electricity,0.0
175,Y7,8,reg1,Final_electricity,0.0
176,Y7,9,reg1,Final_electricity,0.0
177,Y7,10,reg1,Final_electricity,0.0
178,Y7,11,reg1,Final_electricity,0.0
179,Y7,12,reg1,Final_electricity,0.0
180,Y7,13,reg1,Final_electricity,0.0
181,Y7,14,reg1,Final_electricity,0.0
182,Y7,15,reg1,Final_electricity,0.0
183,Y7,16,reg1,Final_electricity,0.0
184,Y7,17,reg1,Final_electricity,0.0
185,Y7,18,reg1,Final_electricity,0.0
186,Y7,19,reg1,Final_electricity,0.0
187,Y7,20,reg1,Final_electricity,0.0
188,Y7,21,reg1,Final_electricity,0.0
189,Y7,22,reg1,Final_electricity,0.0
190,Y7,23,reg1,Final_electricity,0.0
191,Y7,24,reg1,Final_electricity,0.0
192,Y8,1,reg1,Final_electricity,0.0
193,Y8,2,reg1,Final_electricity,0.0
194,Y8,3,reg1,Final_electricity,0.0
195,Y8,4,reg1,Final_electricity,0.0
196,Y8,5,reg1,Final_electricity,0.0
197,Y8,6,reg1,Final_electricity,0.0
198,Y8,7,reg1,Final_electricity,0.0
199,Y8,8,reg1,Final_electricity,0.0
200,Y8,9,reg1,Final_electricity,0.0
201,Y8,10,reg1,Final_electricity,0.0
202,Y8,11,reg1,Final_electricity,0.0
203,Y8,12,reg1,Final_electricity,0.0
204,Y8,13,reg1,Final_electricity,0.0
205,Y8,14,reg1,Final_electricity,0.0
206,Y8,15,reg1,Final_electricity,0.0
207,Y8,16,reg1,Final_electricity,0.0
208,Y8,17,reg1,Final_electricity,0.0
209,Y8,18,reg1,Final_electricity,0.0
210,Y8,19,reg1,Final_electricity,0.0
211,Y8,20,reg1,Final_electricity,0.0
212,Y8,21,reg1,Final_electricity,0.0
213,Y8,22,reg1,Final_electricity,0.0
214,Y8,23,reg1,Final_electricity,0.0
215,Y8,24,reg1,Final_electricity,0.0
216,Y9,1,reg1,Final_electricity,0.0
217,Y9,2,reg1,Final_electricity,0.0
218,Y9,3,reg1,Final_electricity,0.0
219,Y9,4,reg1,Final_electricity,0.0
220,Y9,5,reg1,Final_electricity,0.0
221,Y9,6,reg1,Final_electricity,0.0
222,Y9,7,reg1,Final_electricity,0.0
223,Y9,8,reg1,Final_electricity,0.0
224,Y9,9,reg1,Final_electricity,0.0
225,Y9,10,reg1,Final_electricity,0.0
226,Y9,11,reg1,Final_electricity,0.0
227,Y9,12,reg1,Final_electricity,0.0
228,Y9,13,reg1,Final_electricity,0.0
229,Y9,14,reg1,Final_electricity,0.0
230,Y9,15,reg1,Final_electricity,0.0
231,Y9,16,reg1,Final_electricity,0.0
