,Year,From reg,To reg,Carrier,Value
321,2028,reg3,reg1,Oil,0.0
322,2029,reg3,reg1,Oil,0.0
323,2030,reg3,reg1,Oil,0.0
324,2019,reg3,reg1,Biofuel,0.0
325,2020,reg3,reg1,Biofuel,0.0
326,2021,reg3,reg1,Biofuel,0.0
327,2022,reg3,reg1,Biofuel,0.0
328,2023,reg3,reg1,Biofuel,0.0
329,2024,reg3,reg1,Biofuel,0.0
330,2025,reg3,reg1,Biofuel,0.0
331,2026,reg3,reg1,Biofuel,0.0
332,2027,reg3,reg1,Biofuel,0.0
333,2028,reg3,reg1,Biofuel,0.0
334,2029,reg3,reg1,Biofuel,0.0
335,2030,reg3,reg1,Biofuel,0.0
336,2019,reg3,reg1,Electricity,0.0
337,2020,reg3,reg1,Electricity,0.0
338,2021,reg3,reg1,Electricity,0.0
339,2022,reg3,reg1,Electricity,0.0
340,2023,reg3,reg1,Electricity,0.0
341,2024,reg3,reg1,Electricity,0.0
342,2025,reg3,reg1,Electricity,0.0
343,2026,reg3,reg1,Electricity,0.0
344,2027,reg3,reg1,Electricity,0.0
345,2028,reg3,reg1,Electricity,0.0
346,2029,reg3,reg1,Electricity,0.0
347,2030,reg3,reg1,Electricity,0.0
348,2019,reg3,reg1,Final_electricity,0.0
349,2020,reg3,reg1,Final_electricity,0.0
350,2021,reg3,reg1,Final_electricity,0.0
351,2022,reg3,reg1,Final_electricity,0.0
352,2023,reg3,reg1,Final_electricity,0.0
353,2024,reg3,reg1,Final_electricity,0.0
354,2025,reg3,reg1,Final_electricity,0.0
355,2026,reg3,reg1,Final_electricity,0.0
356,2027,reg3,reg1,Final_electricity,0.0
357,2028,reg3,reg1,Final_electricity,0.0
358,2029,reg3,reg1,Final_electricity,0.0
359,2030,reg3,reg1,Final_electricity,0.0
360,2019,reg3,reg2,Coal,0.0
361,2020,reg3,reg2,Coal,0.0
362,2021,reg3,reg2,Coal,0.0
363,2022,reg3,reg2,Coal,0.0
364,2023,reg3,reg2,Coal,0.0
365,2024,reg3,reg2,Coal,0.0
366,2025,reg3,reg2,Coal,0.0
367,2026,reg3,reg2,Coal,0.0
368,2027,reg3,reg2,Coal,0.0
369,2028,reg3,reg2,Coal,0.0
370,2029,reg3,reg2,Coal,0.0
371,2030,reg3,reg2,Coal,0.0
372,2019,reg3,reg2,Diesel,0.0
373,2020,reg3,reg2,Diesel,65642.3435092947
374,2021,reg3,reg2,Diesel,8801.257745946246
375,2022,reg3,reg2,Diesel,20210.66801888038
376,2023,reg3,reg2,Diesel,20324.29876584933
377,2024,reg3,reg2,Diesel,12638.313784297285
378,2025,reg3,reg2,Diesel,17984.379777379298
379,2026,reg3,reg2,Diesel,0.0
380,2027,reg3,reg2,Diesel,0.0
381,2028,reg3,reg2,Diesel,0.0
382,2029,reg3,reg2,Diesel,20891.232420121298
383,2030,reg3,reg2,Diesel,0.0
384,2019,reg3,reg2,Oil,0.0
385,2020,reg3,reg2,Oil,0.0
386,2021,reg3,reg2,Oil,0.0
387,2022,reg3,reg2,Oil,0.0
388,2023,reg3,reg2,Oil,0.0
389,2024,reg3,reg2,Oil,0.0
390,2025,reg3,reg2,Oil,0.0
391,2026,reg3,reg2,Oil,0.0
392,2027,reg3,reg2,Oil,0.0
393,2028,reg3,reg2,Oil,0.0
394,2029,reg3,reg2,Oil,0.0
395,2030,reg3,reg2,Oil,0.0
396,2019,reg3,reg2,Biofuel,0.0
397,2020,reg3,reg2,Biofuel,0.0
398,2021,reg3,reg2,Biofuel,0.0
399,2022,reg3,reg2,Biofuel,0.0
400,2023,reg3,reg2,Biofuel,0.0
401,2024,reg3,reg2,Biofuel,0.0
402,2025,reg3,reg2,Biofuel,0.0
403,2026,reg3,reg2,Biofuel,0.0
404,2027,reg3,reg2,Biofuel,0.0
405,2028,reg3,reg2,Biofuel,0.0
406,2029,reg3,reg2,Biofuel,0.0
407,2030,reg3,reg2,Biofuel,0.0
408,2019,reg3,reg2,Electricity,0.0
409,2020,reg3,reg2,Electricity,0.0
410,2021,reg3,reg2,Electricity,0.0
411,2022,reg3,reg2,Electricity,0.0
412,2023,reg3,reg2,Electricity,0.0
413,2024,reg3,reg2,Electricity,0.0
414,2025,reg3,reg2,Electricity,0.0
415,2026,reg3,reg2,Electricity,0.0
416,2027,reg3,reg2,Electricity,0.0
417,2028,reg3,reg2,Electricity,0.0
418,2029,reg3,reg2,Electricity,0.0
419,2030,reg3,reg2,Electricity,0.0
420,2019,reg3,reg2,Final_electricity,0.0
421,2020,reg3,reg2,Final_electricity,0.0
422,2021,reg3,reg2,Final_electricity,0.0
423,2022,reg3,reg2,Final_electricity,0.0
424,2023,reg3,reg2,Final_electricity,0.0
425,2024,reg3,reg2,Final_electricity,0.0
426,2025,reg3,reg2,Final_electricity,0.0
427,2026,reg3,reg2,Final_electricity,0.0
428,2027,reg3,reg2,Final_electricity,0.0
429,2028,reg3,reg2,Final_electricity,0.0
430,2029,reg3,reg2,Final_electricity,0.0
431,2030,reg3,reg2,Final_electricity,0.0
