,Year,Timesteps,From reg,To reg,Carrier,Value
8134,2021,23,reg3,reg1,Electricity,0.0
8135,2021,24,reg3,reg1,Electricity,0.0
8136,2022,1,reg3,reg1,Electricity,0.0
8137,2022,2,reg3,reg1,Electricity,0.0
8138,2022,3,reg3,reg1,Electricity,0.0
8139,2022,4,reg3,reg1,Electricity,0.0
8140,2022,5,reg3,reg1,Electricity,0.0
8141,2022,6,reg3,reg1,Electricity,0.0
8142,2022,7,reg3,reg1,Electricity,0.0
8143,2022,8,reg3,reg1,Electricity,0.0
8144,2022,9,reg3,reg1,Electricity,0.0
8145,2022,10,reg3,reg1,Electricity,0.0
8146,2022,11,reg3,reg1,Electricity,0.0
8147,2022,12,reg3,reg1,Electricity,0.0
8148,2022,13,reg3,reg1,Electricity,0.0
8149,2022,14,reg3,reg1,Electricity,0.0
8150,2022,15,reg3,reg1,Electricity,0.0
8151,2022,16,reg3,reg1,Electricity,0.0
8152,2022,17,reg3,reg1,Electricity,0.0
8153,2022,18,reg3,reg1,Electricity,0.0
8154,2022,19,reg3,reg1,Electricity,0.0
8155,2022,20,reg3,reg1,Electricity,0.0
8156,2022,21,reg3,reg1,Electricity,0.0
8157,2022,22,reg3,reg1,Electricity,0.0
8158,2022,23,reg3,reg1,Electricity,0.0
8159,2022,24,reg3,reg1,Electricity,0.0
8160,2023,1,reg3,reg1,Electricity,0.0
8161,2023,2,reg3,reg1,Electricity,0.0
8162,2023,3,reg3,reg1,Electricity,0.0
8163,2023,4,reg3,reg1,Electricity,0.0
8164,2023,5,reg3,reg1,Electricity,0.0
8165,2023,6,reg3,reg1,Electricity,0.0
8166,2023,7,reg3,reg1,Electricity,0.0
8167,2023,8,reg3,reg1,Electricity,0.0
8168,2023,9,reg3,reg1,Electricity,0.0
8169,2023,10,reg3,reg1,Electricity,0.0
8170,2023,11,reg3,reg1,Electricity,0.0
8171,2023,12,reg3,reg1,Electricity,0.0
8172,2023,13,reg3,reg1,Electricity,0.0
8173,2023,14,reg3,reg1,Electricity,0.0
8174,2023,15,reg3,reg1,Electricity,0.0
8175,2023,16,reg3,reg1,Electricity,0.0
8176,2023,17,reg3,reg1,Electricity,0.0
8177,2023,18,reg3,reg1,Electricity,0.0
8178,2023,19,reg3,reg1,Electricity,0.0
8179,2023,20,reg3,reg1,Electricity,0.0
8180,2023,21,reg3,reg1,Electricity,0.0
8181,2023,22,reg3,reg1,Electricity,0.0
8182,2023,23,reg3,reg1,Electricity,0.0
8183,2023,24,reg3,reg1,Electricity,0.0
8184,2024,1,reg3,reg1,Electricity,0.0
8185,2024,2,reg3,reg1,Electricity,0.0
8186,2024,3,reg3,reg1,Electricity,0.0
8187,2024,4,reg3,reg1,Electricity,0.0
8188,2024,5,reg3,reg1,Electricity,0.0
